FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;05;Mayo;1;Extranjeros;0;0;0;0;0;73;0;0;73;0;0;0;0;0;0;0;0;0;73;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;06;Junio;0;Nacionales;0;0;0;0;0;67;34;6;107;0;0;0;0;0;0;0;0;0;107;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;06;Junio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;07;Julio;0;Nacionales;0;0;0;0;0;130;18;4;152;0;0;0;0;0;0;0;0;0;152;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;07;Julio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;08;Agosto;0;Nacionales;0;0;0;0;0;60;8;59;127;0;0;0;0;0;0;0;0;0;127;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;08;Agosto;1;Extranjeros;0;0;0;0;0;82;0;0;82;0;0;0;0;0;0;0;0;0;82;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;09;Setiembre;0;Nacionales;0;0;0;0;0;35;7;53;95;0;0;0;0;0;0;0;0;0;95;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;09;Setiembre;1;Extranjeros;0;0;0;0;0;42;0;0;42;0;0;0;0;0;0;0;0;0;42;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;10;Octubre;0;Nacionales;0;0;0;0;0;48;101;62;211;0;0;0;0;0;0;0;0;0;211;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;10;Octubre;1;Extranjeros;0;0;0;0;0;60;0;0;60;0;0;0;0;0;0;0;0;0;60;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;11;Noviembre;0;Nacionales;0;0;0;0;0;22;13;5;40;0;0;0;0;0;0;0;0;0;40;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;11;Noviembre;1;Extranjeros;0;0;0;0;0;50;0;0;50;0;0;0;0;0;0;0;0;0;50;Sitio Arqueológico
